100001,KONTAKTOR CM 12-22 220V AC,kom,90.00000,6000.00000,10000.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,MOTORNI,DO 63A,MOTORNI,UNIPROM,
100004,KONTAKTOR CM 16-22 220V AC,kom,.00000,3240.00000,21500.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,MOTORNI,DO 63A,MOTORNI,UNIPROM,
100006,KONTAKTOR CM 9-22 220V AC ,kom,230.00000,2490.00000,12000.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,MOTORNI,DO 63A,MOTORNI,UNIPROM,
100007,KONTAKTOR CM 22-22 220V AC,kom,.00000,26400.00000,27000.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,MOTORNI,DO 63A,MOTORNI,UNIPROM,
100014,KONTAKTOR POMOCNI KOU-22 220V AC,kom,.00000,7480.00000,12700.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,POMOCNI,,KONTAKTORI,UNIPROM,
100016,KONTAKTOR POMOCNI KOU-31 220V AC,kom,.00000,12400.00000,10000.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,POMOCNI,,KONTAKTORI,UNIPROM,
100018,* KONTAKTOR POMOCNI KOU-40 220V AC,kom,70.00000,12400.00000,12700.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,POMOCNI,,KONTAKTORI,UNIPROM,
100020,KONTAKTOR POMOCNI KOU-44 380V AC K,kom,.00000,16070.00000,16400.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,POMOCNI,,KONTAKTORI,UNIPROM,
100021,KONTAKTOR POMOCNI KOU-44 110V DC,kom,.00000,6650.00000,35600.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,POMOCNI,,KONTAKTORI,UNIPROM,
100024,KONTAKTOR POMOCNI KOU-53 220V AC,kom,.00000,6650.00000,16400.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,POMOCNI,,KONTAKTORI,UNIPROM,
100026,KONTAKTOR POMOCNI KOU-62 220V AC,kom,.00000,8710.00000,16400.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,POMOCNI,,KONTAKTORI,UNIPROM,
100028,* KONTAKTOR POMOCNI KOU-71 220V AC,kom,340.00000,16070.00000,16400.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,POMOCNI,,KONTAKTORI,UNIPROM,
100029,* KONTAKTOR POMOCNI KOU-80 220V AC,kom,400.00000,16070.00000,19500.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,POMOCNI,,KONTAKTORI,UNIPROM,
100034,PREKIDAC MOTORNO ZASTITNI M611 10-16A,kom,.00000,7100.00000,17850.00000,1,SKLOPNA TEHNIKA,PREKIDACI,DM SKLOPKE,,PREKIDACI,KAILUN,
100040,* KONTAKTOR NC1 0910 220V AC,kom,140.00000,10344.00000,13200.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,MOTORNI,DO 63A,MOTORNI,UNIPROM,
100047,KONTAKTOR NC1 2510 220V AC,kom,.00000,19640.00000,25000.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,MOTORNI,DO 63A,MOTORNI,UNIPROM,
100054,KONTAKTOR NC1 6511 220V AC,kom,.00000,54980.00000,70500.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,MOTORNI,OD 63A,MOTORNI,UNIPROM,
100057,KONTAKTOR NC1 9511 380V,kom,.00000,101200.00000,129050.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,MOTORNI,OD 63A,MOTORNI,UNIPROM,
100058,KONTAKTOR NC2 185 220V AC,kom,.00000,158040.00000,201500.00000,1,SKLOPNA TEHNIKA,KONTAKTORI,MOTORNI,OD 63A,MOTORNI,UNIPROM,
100092,* OSIGURAC AUTOMATSKI 1P B 20A 4.5kA CHINT,kom,40.00000,6000.00000,2040.00000,1,OSIGURACI,AUTOMATSKI OSIGURACI,JEDNOPOLNI 2-63A,B-brzi-instalacioni,JEDNOPOLNI 2-63A,Chint,
100093,* OSIGURAC AUTOMATSKI 1P C 20A 4.5kA CHINT,kom,860.00000,6000.00000,1200.00000,1,OSIGURACI,AUTOMATSKI OSIGURACI,JEDNOPOLNI 2-63A,C-tromi-motorni,JEDNOPOLNI 2-63A,Chint,
100094,* OSIGURAC AUTOMATSKI 1P B 25A 4.5kA CHINT,kom,6870.00000,3240.00000,1740.00000,1,OSIGURACI,AUTOMATSKI OSIGURACI,JEDNOPOLNI 2-63A,B-brzi-instalacioni,JEDNOPOLNI 2-63A,Chint,
100099,* OSIGURAC AUTOMATSKI 1P B 40A 4.5kA CHINT,kom,500.00000,2490.00000,2450.00000,1,OSIGURACI,AUTOMATSKI OSIGURACI,JEDNOPOLNI 2-63A,B-brzi-instalacioni,JEDNOPOLNI 2-63A,Chint,
100107,* OSIGURAC AUTOMATSKI 1P B 6A 4.5kA CHINT,kom,230.00000,1700.00000,2040.00000,1,OSIGURACI,AUTOMATSKI OSIGURACI,JEDNOPOLNI 2-63A,B-brzi-instalacioni,JEDNOPOLNI 2-63A,Chint,
100113,* OSIGURAC AUTOMATSKI 2P C 16A 4.5kA CHINT,kom,180.00000,3300.00000,3600.00000,1,OSIGURACI,AUTOMATSKI OSIGURACI,TROPOLNI 2-63A,C-tromi-motorni,TROPOLNI 2-63A,,
100116,* OSIGURAC AUTOMATSKI 2P C 25A 4.5kA CHINT,kom,660.00000,3300.00000,3600.00000,1,OSIGURACI,AUTOMATSKI OSIGURACI,JEDNOPOLNI 2-63A,C-tromi-motorni,JEDNOPOLNI 2-63A,Chint,
100118,* OSIGURAC AUTOMATSKI 2P C 2A 4.5kA CHINT,kom,260.00000,5030.00000,4910.00000,1,OSIGURACI,AUTOMATSKI OSIGURACI,JEDNOPOLNI 2-63A,C-tromi-motorni,JEDNOPOLNI 2-63A,Chint,
